术语ID,术语名称(中文),术语名称(英文),术语别名,术语定义,确认状态,术语来源,使用情况,创建人,最后编辑人,最后编辑时间
rGAf9V,来源,source,,指信息、数据或事物的原始出处或提供者。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rSqIbp,来源SKU编码,source_sku_code,,来源SKU编码是商品在供应商或原系统中的唯一标识代码。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rbOgkN,来源SKU名称,source_sku_name,,来源SKU名称指商品在原始系统中的唯一标识名称。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rGsdPQ,类型,type,,类型是数据的分类，定义了值的集合与可执行的操作。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rfAk0A,类型代码,type_code,,类型代码是编程中标识数据类型的简短字符或数字。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rKo2sE,类型分类,type_category,,类型分类指将数据按特征划分到预定义类别中的方法，用于数据组织与分析。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rbvebC,类型名称,type_name,,类型名称是编程中标识数据种类或结构的标识符。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rGE00X,累计还款本金,accumulative_principal_repay,,累计还款本金指在贷款期内已偿还的本金总额。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rNexhd,累计利息支出,accumulative_interest_expense,,指企业在一定期间内为借款所支付的全部利息总额。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rlst0n,利率,interest_rate,,资金使用的价格或成本，通常以百分比表示。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rjPnPr,利息支出,interest_expense,,利息支出是企业为借款支付的费用，计入损益表，减少利润。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r2lz2r,联系电话,contact_phone_no,,联系电话是用于联系个人或单位的电话号码。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rn1NHs,联系方式,contact_info,,联系方式是用于建立沟通的个人或组织联系途径，如电话、地址、邮箱等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rRbwaZ,联系人,contact_person,,联系人指业务往来中指定的对接人员，负责沟通协调事宜。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rtATS7,流程名称,process_name,,流程名称是用于唯一标识和调用自动化流程的字符串。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rhANOX,录入保单,insurance_policy_entry,,录入保单指将保险信息录入系统的操作，是承保流程的关键环节。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rn291q,录入发票,invoice_entry,,将发票信息输入财务系统的过程。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rgd53R,录入时间,entry_time,,录入时间指数据被输入系统的时间戳。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r7NeUU,枚举类型,enum_type,,枚举类型是一种用户自定义的数据类型，它定义了一个变量只能取一组预定义的命名常量值。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rw4chG,描述,desc,,对事物特征、状态或过程的客观陈述。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r5TXPu,名称,name,,名称是用于标识和区分特定对象的词语或符号。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rSS5lP,模板编号,template_no,,模板编号是用于唯一标识和区分不同模板的代码或序号。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rnBJ07,模板编码,template_code,模板代码,模板编码是用于生成动态内容的预设代码框架。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
revjiT,模板名称,template_name,,模板名称是Django视图中指定渲染HTML文件的字符串参数。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rAPcJn,模板数量,template_count,,模板数量指在生物信息学中，比对到参考序列上的独特DNA片段总数。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rCXxAf,模板说明,template_desc,,模板说明是对模板功能、适用场景及使用方法的简要介绍，用于指导用户快速理解与应用模板。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r6RbGC,模板状态,template_status,,模板状态指模板在编译或实例化过程中的当前阶段或配置。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rD3oTe,默认值,default_value,,默认值是变量或参数未赋值时系统自动赋予的预设值。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r6M7PZ,目标SKU编码,target_sku_code,,目标SKU编码是电商系统中用于精准定位和管理特定商品的唯一标识符。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rHQzvf,目标SKU名称,target_sku_name,,目标SKU名称指电商平台中商家希望用户最终购买的具体商品型号标识。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rhjkhy,目标价格,target_price,,目标价格是投资者预期未来某时点资产能达到的价位，作为买卖决策的参考。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
raILbo,目的地,destination,,指旅行者计划到达或访问的最终地点或区域。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rnbi8Q,牧场编号,ranch_no,,牧场编号是用于标识和管理牧场的唯一数字代码。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
robl9i,牧场面积,ranch_area,,牧场面积指用于放牧或饲养牲畜的土地总面积。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r3lKop,牧场名称,ranch_name,,牧场名称是标识特定牧场或养殖场的专有称谓。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r1BZmx,牧场宣传简介,ranch_promotion_desc,,牧场宣传简介是用于推广牧场特色、服务及体验的简短营销文案。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rfenK4,牧场宣传名称,ranch_promotion_title,,牧场宣传活动中用于吸引游客的简短标题或标语。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rh8vxc,牧场宣传图,ranch_promotion_image,,牧场宣传图是用于推广牧场品牌、产品或服务的视觉广告图片。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r4eylw,牧场状态,ranch_status,,牧场状态指牧场当前的生产、运营及资源状况，通常用于管理决策。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rFaEqH,排序,sort_order,,排序指按特定规则（如大小、字母序）对数据元素进行升序或降序的排列方式。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rP8dul,配置名称,config_name,,配置名称是软件或系统中用于标识特定配置项的字符串标识符。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rt17Dk,配置状态,config_status,,配置状态指软件或系统在特定时间点的配置信息记录，用于追踪和审计变更。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rFSv95,批量分配,batch_allocation,,批量分配指一次性为多个任务或进程分配所需资源，以提高系统效率。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rLRNXE,批量删除,batch_delete,,批量删除指一次性对多个数据项执行删除操作。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rFcPkD,批准额度,approve_credit_limit,,银行或机构授予客户的可借贷或消费的最高金额。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rU693S,票据号码,note_no,,票据的唯一识别编码，用于追踪和管理。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rlaGLL,品类数,category_count,,品类数指商品或服务分类的总数量。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rXQZzL,品种数,variety_count,,品种数指某类商品或服务的具体种类数量。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rznzIe,签订日期,sign_date,,指合同、协议等文件正式签署的日期。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rmVnQP,签收状态,sign_status,签署状态,签收状态指物流订单中收件人确认收货的当前进展状态。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rPbl9Y,签署方,signatory,,签署方指签署协议、条约等文件，并因此承担相应权利和义务的当事方。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rkuJai,签署方数,signatory_count,,签署方数指在协议、合同等文件中实际签署的参与方数量。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
ruYz9E,求购单编号,purchase_order_no,,采购订单的唯一识别代码。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
ropBVo,求购单状态,purchase_order_status,,指采购订单在流转过程中的当前阶段，如待审核、已批准、已发货等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rZlmYd,求购数量,purchase_quantity,,指买家计划购买的商品件数或单位数量。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rXkT1S,求购状态,purchase_status,,指用户购买商品或服务的当前阶段，如待支付、已下单、已完成等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rQPbXt,渠道,channel,,渠道是产品从生产者流向消费者的路径或方式。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
ruiHf6,取消,cancel,,取消指终止或撤销已安排的活动、操作或订阅。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rWw19C,确定,confirm,,通过证据或事实来验证某事的真实性或准确性。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rTGMWf,确认支付,confirm_payment,,确认支付是用户核对订单信息后，最终完成付款的操作指令。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rHQeR4,认证状态,auth_status,,认证状态指用户或系统身份验证通过与否的标识。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rf6hC7,日期,date,,日历系统中的特定一天，用于标记时间点。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rJlB1C,日志,log,,日志是系统运行中按时间顺序记录的详细事件信息，用于追踪、调试和审计。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rvXAws,融资比例,financing_ratio,,融资比例指投资者通过借款购买证券时，自有资金与总投资的比率，反映杠杆水平。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rNqIFM,融资超线,financing_overrun,,融资超线指企业实际融资额超出原计划或预算上限的情况。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
ray5Gm,融资计划编号,financing_plan_no,,融资计划编号是金融机构为每项融资方案分配的唯一标识代码。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
refxNR,融资金额,financing_amount,,企业通过股权或债权融资所获得的资金总额。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r59HOT,融资类型,financing_type,,融资类型指企业获取资金的来源方式，主要包括股权融资和债权融资两大类。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rnIVNE,融资率,financing_rate,,融资率指投资者为借入资金购买证券所支付的利息费率，通常以年化百分比表示。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r5Sq2Y,融资模式,financing_mode,,融资模式指企业获取资金的方式，如股权融资、债权融资等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rzDGhz,融资需求,financing_demand,,融资需求指企业为维持运营或扩张，因资金不足而产生的对外部融资的需要。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rWX50e,融资余额,financing_balance,,融资余额指投资者通过融资方式买入证券后尚未偿还的资金总额，反映市场杠杆资金规模与多空情绪。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rCw0vD,入池状态,in_pool_status,,入池状态指矿工算力接入矿池后，等待矿池分配任务并开始贡献算力的准备阶段。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rYJhtC,入库时间,inbound_time,,入库时间指货物进入仓库并完成登记的时间点。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r63N6q,入驻企业数,tenant_company_count,,指在特定场所或平台注册并开展业务的企业总数。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rGnKc0,删除,delete,,从数据集中移除指定记录的操作。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rIqvb3,商品编号,sku_no,SKU编号,商品唯一识别码，用于库存管理和销售追踪。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
raSU7V,商品编码,sku_code,SKU编码,商品编码是商品的唯一识别码，用于库存管理与销售追踪。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r9ky2M,商品规格,sku_specification,,商品规格指商品的具体属性组合，如颜色、尺寸等，用于区分不同库存品项。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r7fR4h,商品名称,sku_name,SKU名称,商品名称，即SKU名称，指用于区分和管理最小库存单位的商品具体名称。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rw0Fzz,商品品类,sku_category,,商品品类是商品的最小分类单元，用于精细化管理库存和销售。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r1CeRl,上传,upload,,将本地文件或数据发送到远程服务器或网络空间的过程。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rASD7P,上级行业,parent_industry,,上级行业指某一行业所归属的更大范畴或分类。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rwDSTV,申请单号,apply_no,,申请单的唯一标识编号，用于追踪和记录业务申请。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rmpRbS,申请单位,apply_org,,申请单位指提交申请的组织或机构，即申请人所属的单位。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rQ5TH9,申请金额,apply_amount,,指用户申请贷款或服务的具体货币数额。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rxXYe8,申请客户,apply_customer,,指申请贷款或信用卡等金融服务的个人或企业。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rnDv5Z,申请人,applicant,,申请人(applicant)是指向机构提出正式请求（如签证、贷款、入学等）的个人或实体。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
ru9iXW,申请日期,apply_date,,申请日期指提交申请材料的具体年月日。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r8MKjh,申请时间,apply_time,,申请时间指用户提交申请操作的具体时刻，通常记录为日期和时间戳。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rgFWXR,审批类型,approve_type,,审批类型指审批流程的分类，如常规、加急、会签等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rnEg7C,审批日期,approve_date,,审批日期指文件或申请获得正式批准的日历时间。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r6CQX1,审批状态,approve_status,审核状态,审批状态指申请或内容在审核流程中的当前阶段，如待审、通过或驳回。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rIxCTa,生效日期,effective_date,,指规则、合同或变更开始正式执行的日期。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
riQB2R,牲畜类型,livestock_type,,牲畜类型指养殖动物的分类，如牛、羊、猪、禽等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
roiymj,牲畜数量,livestock_count,活体数量,牲畜数量指农场或地区中存活的牲畜总头数。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rWGk8r,时间,time,,时间是描述事件发生顺序和持续长短的基本物理量。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rvyTkz,实际费用,actual_cost,,实际费用指项目或活动中实际发生的总支出，与预算相对。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rrBJAj,实际还款金额,actual_repay_amount,,实际还款金额指借款人实际偿还的本金与利息之和，不含罚息等额外费用。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rjhYZt,实名认证,real_name_auth,,实名认证是指通过验证个人真实身份信息来确认用户身份的过程。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rrXaIm,市场,market,,市场是买卖双方进行商品或服务交换的场所或机制。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rfOHH6,市场标签,market_label,,市场标签是用于识别和分类目标用户群体的特征标识。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r2zhQ6,市场代码,market_code,,市场代码是交易所为证券分配的唯一标识符，用于交易和识别。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r5RBFG,市场货值,market_goods_value,,市场货值指特定市场中所有待售商品按当前市价估算的总价值。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rSdgfC,市场均价走势图,market_average_price_chart,,市场均价走势图是反映特定市场商品或服务平均价格随时间变化的可视化图表。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rJxYTG,市场类型,market_type,,市场类型指按竞争程度划分的市场结构，如完全竞争、垄断等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rNyZN8,市场名称,market_name,,市场名称是商品交易场所或平台的官方标识，用于区分不同市场。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rHnFS0,市场状态,market_status,,市场状态指特定时点下市场供需、价格等综合表现，如牛市、熊市或震荡市。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rpQKNS,事件代码,event_code,,事件代码是用于标识特定系统事件或用户操作的唯一数字或字符串标识符。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
romTGd,事件接口,event_interface,,事件接口是定义事件处理方法的编程约定，用于实现对象间的通信与响应。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rwHEM2,事件类型,event_type,,事件类型是用于分类和标识不同系统或业务事件的特定标签。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r8k6uE,事件名称,event_name,,事件名称是用于标识特定活动或状态的唯一字符串标识符。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
ra2Gmk,是否必填,is_required,,数据项或字段在提交时必须填写的属性。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rgTh9c,是否检测,is_detection,,判断模型能否识别出目标或异常。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rtPWq2,是否预约开户,is_appointment_open_account,,指用户是否通过预约方式申请开设证券账户。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rC1Ydj,适用品类,apply_category,,适用品类指商品或服务适合的具体商品类别或行业领域。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rqv5dD,收货方,receiver,,收货方指接收货物或服务的指定个人或组织。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rocVAl,收盘价,close_price,,当日交易结束时的最终成交价。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rfUfoX,收市时间,close_time,,指当日交易结束、不再接受订单的时间点。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rzzLr2,受益人名称,beneficiary_name,,指保险、信托等合同中，有权获得利益或赔偿的自然人或法人。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rBv1B1,授信金额,credit_amount,,授信金额指金融机构批准授予客户的可使用信贷额度上限。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rVcKGM,授信额度,credit_quota,,授信额度指金融机构授予客户的最高可借贷金额，客户可在额度内循环使用资金。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rdFLEb,授信起期,credit_start_date,,授信额度开始生效的日期。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rAc9vR,授信止期,credit_end_date,,授信止期指银行授予客户的信用额度有效截止日期。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rquryt,授信日期,credit_date,,授信日期指银行批准客户信用额度的生效日期。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rc8aqw,授信申请金额,credit_apply_amount,,客户向银行申请贷款的总额度。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rQzuW3,授信状态,credit_status,,授信状态指金融机构对客户信用额度的审批及使用情况。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r6kuxg,属性代码,attr_code,,属性代码是标识数据特征的唯一字符串，用于系统识别与处理。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rM4dSs,属性类型,attr_type,,属性类型(attr_type)是数据集中描述对象特征的分类标签。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rAyPhv,属性名称,attr_name,,HTML标签中用于定义特性的标识符。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rnF48b,属性值,attr_value,,属性值(attr_value)是HTML元素中特定属性的具体内容或设置。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rfQNiZ,数量,quantity,,数量指事物的多少或大小，是可测量或计数的具体数值。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rayRdx,数字证书,digital_cert,,数字证书是验证网络实体身份的电子凭证，由可信机构签发，包含公钥和身份信息。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r1zG5F,刷新,refresh,,刷新指重新加载或更新显示内容，使其反映最新状态。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rLU1T5,刷新支付二维码,refresh_payment_qr_code,,用户主动更新支付二维码以获取新的收款凭据。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rt9qiW,税编名称,tax_name,,税编名称指税收分类编码的简称，用于标识商品或服务的税务类别。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rBxMD8,税额,tax_amount,,税额指纳税人应缴纳的税款总额，是计税依据与适用税率的乘积。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rddMkQ,税率,tax_rate,,税率是应纳税额与课税对象之间的法定比例或固定金额。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rr5FpB,税收编码,tax_code,,税收编码是商品或服务在税务系统中的唯一标识代码，用于分类和计税。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rd0W1G,司机,driver,,在计算机中，驱动程序是使操作系统能够与硬件设备通信的软件。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rPX9jf,司机联系方式,driver_contact,,司机联系方式指乘客联系指定车辆驾驶员的电话号码等联络信息。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rmBozW,司机认证,driver_auth,,司机认证指验证驾驶员身份与资质，确保其具备合法驾驶资格的过程。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rHkbB4,所在地,location,,指事物或活动所处的具体地理位置或场所。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rJoeFr,提交人,committer,,在版本控制系统中，提交人是将代码更改正式记录到仓库中的操作者。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r8IUoo,提交时间,commit_time,,提交时间是代码或数据变更被永久记录到版本控制系统中的时间点。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rzV6FE,同步,sync,,同步指多个进程或线程协调执行顺序，确保数据一致性和操作有序性。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rYLLC2,同步类型,sync_type,,同步类型指数据同步的方式，如全量、增量或实时同步。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r1b7Ap,同步状态,sync_status,,同步状态指数据副本间的一致性程度，反映更新是否已完全同步。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r3jg9k,统计日期,stats_date,,统计日期指数据统计所对应的具体日期，通常作为数据记录的基准时间点。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rsPEJ4,统一社会信用代码,unified_social_credit_code,社会统一信用代码,中国大陆企业唯一法定身份标识，由18位数字和字母组成。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rUZNxS,投保方式,insurance_apply_method,,投保方式指购买保险的途径，如线上平台、代理人、银行等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rngiVK,投保人,policyholder,,购买保险并支付保费的个人或组织。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
riqRvL,推荐时间,recommend_time,,推荐时间指系统为用户生成个性化推荐内容的具体时刻。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r05Pco,推荐原因,recommend_reason,,推荐原因指系统向用户解释为何推荐特定内容，旨在提升透明度与接受度。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rPfJgq,推送编号,push_no,,推送编号是消息推送系统中的唯一标识符，用于追踪和管理每一条推送记录。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rD429M,推送产融,push_finance,,推送产融指通过政策引导，将产业资源主动对接金融资本，以促进产融结合。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rpRY8X,推送结果,push_result,,推送结果是服务器主动向客户端发送的数据或状态信息。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rruHij,推送类型,push_type,,推送类型指消息从服务器主动发送到客户端的方式，如即时推送或定时推送。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
riljk8,推送人,pusher,,推送人指在毒品交易中负责分销和销售毒品的底层人员。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rPLeJY,推送时间,push_time,,推送时间指消息或内容被系统发送至用户设备的具体时刻。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rlvuqR,推送状态,push_status,,推送状态指消息推送过程中的实时状态，如成功、失败或待处理。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rctqzr,未还本金,outstanding_principal_amount,,贷款中尚未偿还的原始借款金额。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rF4oC4,未还金额,outstanding_amount,,指尚未偿还的贷款或债务本金余额。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rXbMvI,无效客户数,invalid_customer_count,,指因信息错误、重复或无效而无法计入有效统计的客户数量。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rWZ6Yd,物料件数,material_piece_count,,物料件数指生产或库存中单个物料单位的数量统计。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rIzIw0,物料数量,material_quantity,,物料数量指生产或库存中原材料、半成品或成品的具体计量数值。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rPNOqk,物料种类,material_category,,物料分类，指按属性、用途等对生产材料进行系统划分。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r7fihJ,下单时间,order_time,,用户提交订单的具体时间点。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rdUj1v,详情,detail,,详情指具体、完整的信息或内容，用于深入说明事物。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rVuid9,销售方,seller,卖方,销售方指提供商品或服务以换取货币的交易主体。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rrUbZ4,销售方名称,seller_name,,销售方名称指开具发票或提供商品服务的单位全称。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rL8sL5,销售方税号,seller_tax_no,,销售方纳税人识别号，用于税务登记和发票开具。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rW5MYJ,新建资产池,asset_pool_create,,新建资产池指将多种资产组合打包，形成可供交易的标准化金融产品。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
